,season,player,true,true_rank,pred,pred_rank
34,1986,Alvin Robertson,0.004,9.0,-0.06043516887501037,11.0
72,1986,Artis Gilmore,0.0,11.0,-0.014571953488908163,10.0
261,1986,Dominique Wilkins,0.522,2.0,0.2627790289912001,5.0
339,1986,Hakeem Olajuwon,0.247,4.0,0.10100608709836956,8.0
358,1986,Isiah Thomas,0.036000000000000004,8.0,0.20962188870496823,6.0
466,1986,Kareem Abdul-Jabbar,0.173,5.0,0.42593670681688367,3.0
585,1986,Larry Bird,0.981,1.0,0.8103047547747156,1.0
622,1986,Magic Johnson,0.263,3.0,0.7527980010550611,2.0
645,1986,Maurice Cheeks,0.0,11.0,-0.19751858200275432,13.0
782,1986,Rolando Blackman,0.0,11.0,-0.12298377175831435,12.0
834,1986,Sidney Moncrief,0.07200000000000001,6.0,0.15674087348587112,7.0
16,1987,Alex English,0.003,10.0,-0.02310684150485659,12.0
128,1987,Charles Barkley,0.145,6.0,0.33927778829587474,6.0
262,1987,Dominique Wilkins,0.16399999999999998,5.0,0.15580877757334002,9.0
340,1987,Hakeem Olajuwon,0.036000000000000004,7.0,-0.11149259520906006,13.0
359,1987,Isiah Thomas,0.022,8.0,0.023273785289634003,11.0
420,1987,Joe Barry Carroll,0.001,11.0,0.32398169634891166,7.0
530,1987,Kevin McHale,0.326,4.0,0.3993040125618774,4.0
586,1987,Larry Bird,0.34700000000000003,3.0,0.5863845373874614,2.0
623,1987,Magic Johnson,0.94,1.0,0.6898548869120911,1.0
633,1987,Mark Aguirre,0.001,11.0,0.1723305684017435,8.0
655,1987,Michael Jordan,0.5760000000000001,2.0,0.48069947727499446,3.0
684,1987,Moses Malone,0.012,9.0,0.36423566514648037,5.0
835,1987,Sleepy Floyd,0.0,12.0,0.06567459068610254,10.0
129,1988,Charles Barkley,0.136,4.0,0.2578886599208169,2.0
174,1988,Clyde Drexler,0.108,5.0,0.11678120602641373,5.0
263,1988,Dominique Wilkins,0.069,6.0,-0.0748391766507269,11.0
299,1988,Fat Lever,0.033,9.0,0.030956360828983037,9.0
341,1988,Hakeem Olajuwon,0.05,7.0,0.19607875954759557,4.0
470,1988,Karl Malone,0.045,8.0,0.23973350711580532,3.0
587,1988,Larry Bird,0.659,2.0,0.08727263274307831,6.0
624,1988,Magic Johnson,0.635,3.0,0.0003292629614661813,10.0
634,1988,Mark Aguirre,0.001,10.0,0.07988025494978829,7.0
656,1988,Michael Jordan,0.831,1.0,0.4747078580316181,1.0
697,1988,Patrick Ewing,0.0,11.0,0.03307384423801235,8.0
18,1989,Alex English,0.0,10.0,0.19221106582810146,6.0
130,1989,Charles Barkley,0.111,5.0,-0.11779986147807589,11.0
154,1989,Chris Mullin,0.004,9.0,0.21075965353771406,5.0
175,1989,Clyde Drexler,0.0,10.0,-0.10992145595986186,10.0
264,1989,Dominique Wilkins,0.0,10.0,-0.19971298121291622,12.0
342,1989,Hakeem Olajuwon,0.211,4.0,0.31465408461194233,2.0
437,1989,John Stockton,0.033,6.0,0.06661204388275946,7.0
471,1989,Karl Malone,0.426,2.0,-0.05885714162284161,9.0
637,1989,Mark Price,0.021,8.0,0.23029601721857954,4.0
657,1989,Michael Jordan,0.7040000000000001,1.0,0.6285500156702728,1.0
698,1989,Patrick Ewing,0.235,3.0,0.2792492928516862,3.0
884,1989,Tom Chambers,0.024,7.0,-0.006253809888384532,8.0
131,1990,Charles Barkley,0.667,2.0,-0.13066095641244763,13.0
155,1990,Chris Mullin,0.0,11.0,0.09152697937636177,9.0
176,1990,Clyde Drexler,0.003,10.0,0.08984645984410423,10.0
199,1990,David Robinson,0.111,5.0,0.5911462307266214,3.0
265,1990,Dominique Wilkins,0.0,11.0,-0.050647005138643994,12.0
343,1990,Hakeem Olajuwon,0.07,6.0,0.45714937905436837,4.0
438,1990,John Stockton,0.01,8.0,0.16983811588027314,6.0
522,1990,Kevin Johnson,0.0,11.0,0.3439158354170676,5.0
588,1990,Larry Bird,0.005,9.0,0.13520447149399045,7.0
625,1990,Magic Johnson,0.691,1.0,0.6831993669364367,1.0
658,1990,Michael Jordan,0.613,3.0,0.6504270379115712,2.0
699,1990,Patrick Ewing,0.17600000000000002,4.0,0.11077620799637407,8.0
885,1990,Tom Chambers,0.013,7.0,0.04119154167650481,11.0
101,1991,Brad Daugherty,0.0,13.0,0.21981086421219342,7.0
132,1991,Charles Barkley,0.231,4.0,0.3878563937315898,4.0
156,1991,Chris Mullin,0.0,13.0,0.07843464783550631,10.0
177,1991,Clyde Drexler,0.078,6.0,0.10446084937694715,9.0
200,1991,David Robinson,0.496,3.0,0.804180215930923,2.0
266,1991,Dominique Wilkins,0.03,8.0,-0.035444604718042325,12.0
439,1991,John Stockton,0.016,11.0,-0.07539075128460959,14.0
472,1991,Karl Malone,0.14800000000000002,5.0,0.19206573346407835,8.0
523,1991,Kevin Johnson,0.033,7.0,0.23922691775591193,6.0
626,1991,Magic Johnson,0.518,2.0,0.34952074777710856,5.0
659,1991,Michael Jordan,0.928,1.0,0.9178298996123923,1.0
700,1991,Patrick Ewing,0.021,10.0,0.4673258173613933,3.0
770,1991,Ricky Pierce,0.0,13.0,-0.15977525147404886,15.0
859,1991,Terry Porter,0.026,9.0,0.03534456214366784,11.0
876,1991,Tim Hardaway,0.001,12.0,-0.0392286267469522,13.0
102,1992,Brad Daugherty,0.025,8.0,-0.15293922520691816,11.0
133,1992,Charles Barkley,0.019,9.0,0.058685904086075574,8.0
178,1992,Clyde Drexler,0.584,2.0,0.036302514391526736,9.0
201,1992,David Robinson,0.35100000000000003,3.0,0.09915974276507411,5.0
344,1992,Hakeem Olajuwon,0.0,10.0,0.06161071482008662,7.0
440,1992,John Stockton,0.019,9.0,0.0013471743871102393,10.0
473,1992,Karl Malone,0.273,4.0,0.22701888678421978,3.0
638,1992,Mark Price,0.069,6.0,0.07993862446700559,6.0
660,1992,Michael Jordan,0.938,1.0,0.8701824436714138,1.0
701,1992,Patrick Ewing,0.104,5.0,0.1327994115583742,4.0
799,1992,Scottie Pippen,0.033,7.0,0.30706457776056323,2.0
134,1993,Charles Barkley,0.852,1.0,0.327400566488504,5.0
202,1993,David Robinson,0.034,6.0,0.2844695863605382,6.0
267,1993,Dominique Wilkins,0.055,5.0,0.07920558796539476,11.0
345,1993,Hakeem Olajuwon,0.66,2.0,0.5820686650755209,2.0
441,1993,John Stockton,0.001,9.0,-0.01626974344321594,14.0
474,1993,Karl Malone,0.01,8.0,0.5761774983033962,3.0
589,1993,Larry Johnson,0.0,10.0,0.3379496947491044,4.0
639,1993,Mark Price,0.01,8.0,0.038998248199850774,12.0
661,1993,Michael Jordan,0.5770000000000001,3.0,0.9573621525094775,1.0
702,1993,Patrick Ewing,0.366,4.0,0.22029445582332222,9.0
800,1993,Scottie Pippen,0.0,10.0,0.0846831981555067,10.0
807,1993,Shaquille O'Neal,0.031,7.0,0.22732381070338278,8.0
820,1993,Shawn Kemp,0.001,9.0,0.25700621197990103,7.0
878,1993,Tim Hardaway,0.0,10.0,0.010242199175378192,13.0
203,1994,David Robinson,0.723,2.0,0.8146764217876329,1.0
228,1994,Derrick Coleman,0.0,9.0,-0.04227056817098156,10.0
346,1994,Hakeem Olajuwon,0.88,1.0,0.3217194251115716,3.0
442,1994,John Stockton,0.001,8.0,-0.08902658840195338,11.0
475,1994,Karl Malone,0.017,6.0,0.30673970074640877,4.0
524,1994,Kevin Johnson,0.001,8.0,-0.013924278006252441,9.0
640,1994,Mark Price,0.006999999999999999,7.0,-0.002449231655876509,8.0
678,1994,Mookie Blaylock,0.001,8.0,0.15994137631917904,5.0
703,1994,Patrick Ewing,0.252,5.0,0.13148069883196767,6.0
801,1994,Scottie Pippen,0.386,3.0,0.09571534423105797,7.0
808,1994,Shaquille O'Neal,0.28600000000000003,4.0,0.6729702345290889,2.0
51,1995,Anfernee Hardaway,0.022,10.0,0.1645152840341459,6.0
135,1995,Charles Barkley,0.091,6.0,0.02567929342316952,10.0
192,1995,Dana Barros,0.0,11.0,0.07470873834407005,9.0
204,1995,David Robinson,0.858,1.0,0.7285382026324704,1.0
302,1995,Gary Payton,0.032,9.0,0.10540923338209818,8.0
347,1995,Hakeem Olajuwon,0.14,5.0,0.11032144315180736,7.0
443,1995,John Stockton,0.045,8.0,0.658880556023118,2.0
476,1995,Karl Malone,0.507,3.0,0.3243180983012942,5.0
704,1995,Patrick Ewing,0.219,4.0,-0.09021310462473309,11.0
802,1995,Scottie Pippen,0.079,7.0,0.5246128640786684,3.0
809,1995,Shaquille O'Neal,0.5760000000000001,2.0,0.5027144539812347,4.0
31,1996,Alonzo Mourning,0.005,11.0,0.07200429318119221,11.0
52,1996,Anfernee Hardaway,0.319,3.0,0.3633871909434166,4.0
136,1996,Charles Barkley,0.006999999999999999,10.0,0.15549159448876892,8.0
205,1996,David Robinson,0.508,2.0,0.4074314017770791,3.0
303,1996,Gary Payton,0.087,6.0,-0.11928727506086077,15.0
331,1996,Grant Hill,0.056,8.0,0.13134484873589825,9.0
348,1996,Hakeem Olajuwon,0.211,4.0,0.34000910613113755,5.0
444,1996,John Stockton,0.011,9.0,0.09696624236253272,10.0
477,1996,Karl Malone,0.075,7.0,0.41655941768064847,2.0
662,1996,Michael Jordan,0.986,1.0,1.1378543053825267,1.0
705,1996,Patrick Ewing,0.0,13.0,0.030722840862089318,13.0
761,1996,Reggie Miller,0.0,13.0,-0.11579988815636386,14.0
803,1996,Scottie Pippen,0.2,5.0,0.03997997684999223,12.0
810,1996,Shaquille O'Neal,0.056,8.0,0.30011807565233134,7.0
855,1996,Terrell Brandon,0.003,12.0,0.30934720855576253,6.0
167,1997,Chris Webber,0.0,10.0,-0.22826201190422435,11.0
304,1997,Gary Payton,0.091,6.0,-0.0053931702997663394,7.0
324,1997,Glen Rice,0.117,5.0,-0.6474402661439028,12.0
332,1997,Grant Hill,0.327,3.0,0.5781433168287092,3.0
349,1997,Hakeem Olajuwon,0.083,7.0,-0.21310602892837033,10.0
445,1997,John Stockton,0.003,9.0,0.10553366224316886,5.0
478,1997,Karl Malone,0.857,1.0,0.9903257534470001,2.0
663,1997,Michael Jordan,0.8320000000000001,2.0,1.0634640055813853,1.0
675,1997,Mitch Richmond,0.003,9.0,-0.082158760840571,9.0
804,1997,Scottie Pippen,0.005,8.0,0.14790576506390474,4.0
856,1997,Terrell Brandon,0.0,10.0,0.0341004670460663,6.0
879,1997,Tim Hardaway,0.207,4.0,-0.01964486333864081,8.0
64,1998,Antoine Walker,0.005,9.0,0.1033506031203148,7.0
206,1998,David Robinson,0.031,7.0,0.12243461989965687,6.0
305,1998,Gary Payton,0.3720000000000001,3.0,0.20329042831878963,4.0
333,1998,Grant Hill,0.02,8.0,0.08293012405037986,8.0
479,1998,Karl Malone,0.726,2.0,0.46572446530848133,2.0
664,1998,Michael Jordan,0.934,1.0,0.796911193482585,1.0
811,1998,Shaquille O'Neal,0.268,4.0,-0.12493294825434359,9.0
861,1998,Tim Duncan,0.128,5.0,0.4382276392166502,3.0
880,1998,Tim Hardaway,0.061,6.0,0.14222306255243994,5.0
21,2000,Allen Iverson,0.109,7.0,-0.17228578676092612,13.0
32,2000,Alonzo Mourning,0.303,3.0,0.3630561172857165,5.0
168,2000,Chris Webber,0.079,9.0,0.3122338262207602,7.0
207,2000,David Robinson,0.0,13.0,0.07712259116735426,9.0
306,2000,Gary Payton,0.149,6.0,0.32959590419552554,6.0
334,2000,Grant Hill,0.093,8.0,0.009953760366758754,11.0
446,2000,John Stockton,0.0,13.0,0.039668526247896796,10.0
480,2000,Karl Malone,0.258,4.0,0.5742455355527731,4.0
510,2000,Kevin Garnett,0.337,2.0,0.5988367936472943,3.0
546,2000,Kobe Bryant,0.002,11.0,0.21596512844029064,8.0
652,2000,Michael Finley,0.001,12.0,-0.10170799441909395,12.0
812,2000,Shaquille O'Neal,0.998,1.0,1.1503790355348709,1.0
862,2000,Tim Duncan,0.205,5.0,0.7084131917837768,2.0
910,2000,Vince Carter,0.042,10.0,-0.17684505681685223,14.0
22,2001,Allen Iverson,0.904,1.0,-0.14931816369006792,13.0
169,2001,Chris Webber,0.42,3.0,0.39367516348740994,4.0
208,2001,David Robinson,0.006,9.0,-0.03518049925570085,12.0
307,2001,Gary Payton,0.0,12.0,0.04847466045451977,10.0
393,2001,Jason Kidd,0.015,7.0,0.01903858895970406,11.0
412,2001,Jerry Stackhouse,0.002,10.0,0.2053654753985242,8.0
481,2001,Karl Malone,0.017,6.0,0.4852120022287838,3.0
511,2001,Kevin Garnett,0.122,4.0,0.507179638231329,2.0
547,2001,Kobe Bryant,0.009000000000000001,8.0,0.13243965132934216,9.0
653,2001,Michael Finley,0.001,11.0,-0.16349872083496916,14.0
749,2001,Ray Allen,0.006,9.0,0.2601014970017351,7.0
863,2001,Tim Duncan,0.569,2.0,0.32451549418361414,6.0
894,2001,Tracy McGrady,0.052000000000000005,5.0,0.5693740511549649,1.0
911,2001,Vince Carter,0.006,9.0,0.34403402421046203,5.0
23,2002,Allen Iverson,0.023,8.0,0.29317879421462734,5.0
170,2002,Chris Webber,0.029,6.0,0.016674863438803422,9.0
245,2002,Dirk Nowitzki,0.025,7.0,-0.2335124859650624,11.0
297,2002,Elton Brand,0.001,12.0,0.055906946170583116,8.0
308,2002,Gary Payton,0.043,5.0,0.14513051838799887,6.0
394,2002,Jason Kidd,0.7120000000000001,2.0,-0.3103404518624689,12.0
512,2002,Kevin Garnett,0.013,10.0,0.4618290999868474,2.0
548,2002,Kobe Bryant,0.078,4.0,0.4563806564250871,3.0
722,2002,Paul Pierce,0.017,9.0,0.06884076152674098,7.0
847,2002,Steve Nash,0.004,11.0,-0.016356300733050805,10.0
864,2002,Tim Duncan,0.757,1.0,1.1164294965554318,1.0
895,2002,Tracy McGrady,0.31,3.0,0.37093648238324517,4.0
24,2003,Allen Iverson,0.07,6.0,0.1846484880164198,7.0
246,2003,Dirk Nowitzki,0.036000000000000004,7.0,0.27701369645669277,6.0
395,2003,Jason Kidd,0.026,8.0,-0.039658703515649874,11.0
513,2003,Kevin Garnett,0.732,2.0,0.5137597836853455,2.0
549,2003,Kobe Bryant,0.417,3.0,0.3182265640431686,5.0
723,2003,Paul Pierce,0.001,9.0,0.07913074008088904,9.0
813,2003,Shaquille O'Neal,0.106,5.0,0.4201622788271864,4.0
826,2003,Shawn Marion,0.0,10.0,0.11449352648753093,8.0
843,2003,Stephon Marbury,0.0,10.0,-0.16147224983032787,12.0
848,2003,Steve Nash,0.001,9.0,0.04037055263050736,10.0
865,2003,Tim Duncan,0.8079999999999999,1.0,0.5444464397603578,1.0
896,2003,Tracy McGrady,0.359,4.0,0.45431481408461094,3.0
47,2004,Andrei Kirilenko,0.002,7.0,-0.3254550965844078,8.0
76,2004,Baron Davis,0.003,6.0,-0.0918940713327574,7.0
396,2004,Jason Kidd,0.014,5.0,0.025921168338413778,5.0
514,2004,Kevin Garnett,0.991,1.0,0.7336369405569088,1.0
550,2004,Kobe Bryant,0.172,3.0,0.13242646762436805,4.0
814,2004,Shaquille O'Neal,0.145,4.0,0.22487187163755495,3.0
866,2004,Tim Duncan,0.5820000000000001,2.0,0.47812264032638646,2.0
897,2004,Tracy McGrady,0.0,8.0,-0.04272321012019063,6.0
26,2005,Allen Iverson,0.189,5.0,0.125026908012558,8.0
38,2005,Amar'e Stoudemire,0.032,9.0,0.044485819652859485,10.0
248,2005,Dirk Nowitzki,0.275,3.0,0.136982961123923,7.0
281,2005,Dwyane Wade,0.034,8.0,-0.24214692151652167,11.0
515,2005,Kevin Garnett,0.012,10.0,0.7410760567116318,1.0
551,2005,Kobe Bryant,0.0,11.0,0.14825682360855635,6.0
598,2005,LeBron James,0.073,6.0,0.5035069062108893,2.0
815,2005,Shaquille O'Neal,0.813,2.0,0.2355500210252876,4.0
849,2005,Steve Nash,0.8390000000000001,1.0,0.3092158801413768,3.0
867,2005,Tim Duncan,0.258,4.0,0.07555404008976581,9.0
898,2005,Tracy McGrady,0.035,7.0,0.23413698942505928,5.0
27,2006,Allen Iverson,0.001,8.0,0.17088173485408847,11.0
249,2006,Dirk Nowitzki,0.435,3.0,0.7243140323580867,1.0
282,2006,Dwyane Wade,0.07,5.0,0.5434681373951613,3.0
298,2006,Elton Brand,0.04,6.0,0.41817568814642125,4.0
321,2006,Gilbert Arenas,0.0,9.0,-0.26723945408349514,15.0
516,2006,Kevin Garnett,0.0,9.0,0.0526209256132919,13.0
552,2006,Kobe Bryant,0.386,4.0,0.5764073219074644,2.0
599,2006,LeBron James,0.55,2.0,0.2344560911056429,7.0
706,2006,Pau Gasol,0.0,9.0,0.21054337519805913,9.0
726,2006,Paul Pierce,0.0,9.0,0.1154705980225266,12.0
828,2006,Shawn Marion,0.001,8.0,0.2278117153903972,8.0
850,2006,Steve Nash,0.7390000000000001,1.0,0.25354886285946043,6.0
868,2006,Tim Duncan,0.026,7.0,0.1866571839396858,10.0
899,2006,Tracy McGrady,0.0,9.0,0.3191745540140697,5.0
915,2006,Vince Carter,0.0,9.0,-0.007849546046217973,14.0
39,2007,Amar'e Stoudemire,0.002,8.0,0.02938520331415735,9.0
117,2007,Carmelo Anthony,0.001,9.0,0.03991390708528439,8.0
250,2007,Dirk Nowitzki,0.882,1.0,0.44184451539076536,1.0
273,2007,Dwight Howard,0.0,10.0,-0.21804829542190096,12.0
283,2007,Dwyane Wade,0.002,8.0,0.30168855022988345,3.0
322,2007,Gilbert Arenas,0.024,6.0,0.006891356521317879,10.0
517,2007,Kevin Garnett,0.005,7.0,-0.1598702295494523,11.0
553,2007,Kobe Bryant,0.404,2.0,0.3782038086577911,2.0
600,2007,LeBron James,0.142,4.0,0.17227908498940114,7.0
869,2007,Tim Duncan,0.222,3.0,0.2817051685294239,5.0
889,2007,Tony Parker,0.001,9.0,0.2976543212312136,4.0
900,2007,Tracy McGrady,0.085,5.0,0.19790884815994642,6.0
28,2008,Allen Iverson,0.0,8.0,0.1386123588340223,7.0
140,2008,Chauncey Billups,0.0,8.0,-0.017247985048231336,9.0
158,2008,Chris Paul,0.71,2.0,0.08152452198820502,8.0
251,2008,Dirk Nowitzki,0.004,7.0,0.18533371139194482,5.0
274,2008,Dwight Howard,0.048,4.0,0.2544328413042993,4.0
554,2008,Kobe Bryant,0.873,1.0,0.2806876748177854,2.0
601,2008,LeBron James,0.348,3.0,0.614455119283132,1.0
851,2008,Steve Nash,0.014,6.0,0.256841357377514,3.0
870,2008,Tim Duncan,0.02,5.0,0.14174874154700345,6.0
110,2009,Brandon Roy,0.006,7.0,-0.1035591422135391,10.0
159,2009,Chris Paul,0.159,5.0,0.23670052708491474,2.0
252,2009,Dirk Nowitzki,0.002,8.0,-0.022586020123272987,9.0
275,2009,Dwight Howard,0.271,4.0,0.15404643570436316,5.0
285,2009,Dwyane Wade,0.562,3.0,0.06054281927502034,8.0
555,2009,Kobe Bryant,0.5770000000000001,2.0,0.2351687546167206,3.0
602,2009,LeBron James,0.969,1.0,0.6301881396808084,1.0
818,2009,Shaquille O'Neal,0.0,9.0,0.1200789043629279,7.0
871,2009,Tim Duncan,0.002,8.0,0.13158542401254006,6.0
890,2009,Tony Parker,0.006999999999999999,6.0,0.19432116771168684,4.0
119,2010,Carmelo Anthony,0.053,5.0,0.09123840199868007,8.0
146,2010,Chris Bosh,0.001,8.0,0.09332043749060463,7.0
253,2010,Dirk Nowitzki,0.045,6.0,0.03868764471844495,9.0
276,2010,Dwight Howard,0.389,3.0,0.34829266795843894,2.0
286,2010,Dwyane Wade,0.097,4.0,0.24858002702240428,4.0
498,2010,Kevin Durant,0.495,2.0,0.33579610039883867,3.0
603,2010,LeBron James,0.98,1.0,0.4279243049197986,1.0
736,2010,Rajon Rondo,0.0,9.0,-0.2410609554705903,10.0
852,2010,Steve Nash,0.04,7.0,0.11677896786292642,5.0
872,2010,Tim Duncan,0.0,9.0,0.0934047062453877,6.0
91,2011,Blake Griffin,0.004,8.0,0.06558730401313118,8.0
160,2011,Chris Paul,0.002,9.0,0.1132216769237323,6.0
230,2011,Derrick Rose,0.977,1.0,0.22939104276196481,5.0
254,2011,Dirk Nowitzki,0.093,6.0,0.09851457029444996,7.0
277,2011,Dwight Howard,0.531,2.0,0.2850018166309612,3.0
287,2011,Dwyane Wade,0.02,7.0,0.28200177567562734,4.0
499,2011,Kevin Durant,0.157,5.0,-0.011118755140515538,10.0
556,2011,Kobe Bryant,0.354,4.0,0.41173509251285495,2.0
604,2011,LeBron James,0.431,3.0,0.7496377241966978,1.0
709,2011,Pau Gasol,0.0,10.0,-0.13380720466835205,13.0
737,2011,Rajon Rondo,0.004,8.0,-0.06608202451063797,11.0
788,2011,Russell Westbrook,0.0,10.0,0.05342835790581152,9.0
873,2011,Tim Duncan,0.0,10.0,-0.10655246255702008,12.0
92,2012,Blake Griffin,0.0,8.0,0.1804499852876139,4.0
161,2012,Chris Paul,0.318,3.0,-0.012541800567859182,6.0
278,2012,Dwight Howard,0.011,6.0,0.3521843813313673,3.0
500,2012,Kevin Durant,0.735,2.0,0.44576850701109594,2.0
526,2012,Kevin Love,0.048,5.0,-0.18256925779031621,8.0
605,2012,LeBron James,0.888,1.0,0.8590542800013362,1.0
853,2012,Steve Nash,0.006,7.0,-0.0285343783695384,7.0
891,2012,Tony Parker,0.274,4.0,0.038533455254741694,5.0
122,2013,Carmelo Anthony,0.393,3.0,-0.10972733390697782,8.0
162,2013,Chris Paul,0.239,4.0,0.22139567362275264,5.0
375,2013,James Harden,0.027000000000000003,7.0,-0.009611879664278775,7.0
501,2013,Kevin Durant,0.632,2.0,0.5877776436206187,2.0
558,2013,Kobe Bryant,0.152,5.0,0.20541061451188286,6.0
606,2013,LeBron James,0.998,1.0,1.0535334456321621,1.0
790,2013,Russell Westbrook,0.006999999999999999,8.0,0.3409573640740332,3.0
892,2013,Tony Parker,0.071,6.0,0.30452927249555156,4.0
94,2014,Blake Griffin,0.34700000000000003,3.0,0.0016805275999293018,10.0
123,2014,Carmelo Anthony,0.003,9.0,0.2731110831287435,5.0
163,2014,Chris Paul,0.036000000000000004,7.0,0.06077073834710754,7.0
280,2014,Dwight Howard,0.0,10.0,0.04501579710233429,8.0
376,2014,James Harden,0.068,5.0,0.03945254180595063,9.0
419,2014,Joakim Noah,0.258,4.0,0.1692147196560268,6.0
502,2014,Kevin Durant,0.986,1.0,0.6150973039005752,1.0
527,2014,Kevin Love,0.02,8.0,0.31321389713855036,3.0
607,2014,LeBron James,0.713,2.0,0.5409336839653113,2.0
836,2014,Stephen Curry,0.053,6.0,0.2889896575304921,4.0
164,2015,Chris Paul,0.095,5.0,0.19242496934235176,3.0
217,2015,DeMarcus Cousins,0.0,6.0,0.18620049287915463,4.0
377,2015,James Harden,0.72,2.0,-0.01789984892672604,5.0
608,2015,LeBron James,0.425,3.0,-0.053377639029016294,6.0
791,2015,Russell Westbrook,0.271,4.0,0.2434832848528395,1.0
837,2015,Stephen Curry,0.922,1.0,0.22048495477175573,2.0
165,2016,Chris Paul,0.08199999999999999,6.0,0.052098782417610554,6.0
218,2016,DeMarcus Cousins,0.0,9.0,-0.03647140521034206,10.0
378,2016,James Harden,0.006999999999999999,7.0,0.12869332787616014,5.0
484,2016,Kawhi Leonard,0.484,2.0,0.02433236623032614,8.0
504,2016,Kevin Durant,0.112,5.0,0.658195607868962,2.0
562,2016,Kyle Lowry,0.005,8.0,-0.028896063603189567,9.0
609,2016,LeBron James,0.482,3.0,0.5941790878832426,3.0
714,2016,Paul George,0.0,9.0,0.04034338918625982,7.0
792,2016,Russell Westbrook,0.371,4.0,0.27183220306134337,4.0
838,2016,Stephen Curry,1.0,1.0,0.7683700726781758,1.0
